y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.265,0,0.735
1,3,0.9955,0,0.0045
1,4,1,0,0
2,1,0.0005,0,0.9995
2,2,0.257,0,0.743
2,3,0.996,0,0.004
2,4,1,0,0
3,1,0.0035,0,0.9965
3,2,0.555,0,0.445
3,3,0.999,0,0.001
3,4,1,0,0
4,1,0,0,1
4,2,0.108,0,0.892
4,3,0.9905,0,0.0095
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.471,0,0.529
5,4,0.9965,0,0.0035
6,1,0,0.008,0.992
6,2,0,0.023,0.977
6,3,0.002,0.072,0.926
6,4,0.574,0.156,0.27
7,1,0,0.056,0.944
7,2,0,0.883,0.117
7,3,0,1,0
7,4,0,1,0
8,1,0,0.002,0.998
8,2,0,0.604,0.396
8,3,0,1,0
8,4,0,1,0
9,1,0,0.2975,0.7025
9,2,0,0.9855,0.0145
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.444,0.556
10,3,0,0.978,0.022
10,4,0,0.999,0.001
