y,fzone,punt,kick,gofor
1,1,0.049,0,0.951
1,2,0.83,0,0.17
1,3,1,0,0
1,4,1,0,0
2,1,0.0285,0,0.9715
2,2,0.821,0,0.179
2,3,1,0,0
2,4,1,0,0
3,1,0.1135,0,0.8865
3,2,0.963,0,0.037
3,3,1,0,0
3,4,1,0,0
4,1,0.003,0,0.997
4,2,0.593,0,0.407
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0025,0,0.9975
5,3,0.895,0,0.105
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0275,0.9725
6,3,0.0385,0.091,0.8705
6,4,0.7765,0.1495,0.074
7,1,0,0.268,0.732
7,2,0,0.9805,0.0195
7,3,0,1,0
7,4,0,1,0
8,1,0,0.029,0.971
8,2,0,0.904,0.096
8,3,0,1,0
8,4,0,1,0
9,1,0,0.53,0.47
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.002,0.998
10,2,0,0.6265,0.3735
10,3,0,0.9915,0.0085
10,4,0,1,0
